antecedent,consequent,weight,source_row
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.3960159256512011,41
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3710053713473431,42
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Acceptable,0.3786242113348723,43
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Low AND W=2,Poor,0.3396257480029703,44
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Good,0.4141514807034246,45
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Good,0.3521045042190062,46
Tin=Normal AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Good,0.4596864894976507,47
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3506053321146514,48
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Good,0.492485424176544,49
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=0,Acceptable,0.3979168733518676,50
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Low AND E=Normal AND W=3,Good,0.3895218165525736,51
Tin=Normal AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Low AND Wind=Medium AND N=High AND E=Normal AND W=1,Acceptable,0.4165306731751612,52
Tin=Normal AND Tout=Normal AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.4235391540102372,53
Tin=Hot AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.3827717404657785,54
