antecedent,consequent,weight,count,source_row,confidence
Tin=Cold AND Tout=Hot AND L=Low AND Solar=High AND CO2=High AND N=Normal AND E=High AND W=3,Poor,0.4821109025009949,1,1051,0.9999999999982714
Tin=Cold AND Tout=Hot AND L=Normal AND Solar=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Poor,0.4824957705536721,1,386,0.9999999999912755
Tin=Cold AND Tout=Normal AND Hin=Dry AND Hout=Dry AND L=Low AND CO2=Normal AND N=Normal AND W=3,Poor,0.3365878066960143,1,823,0.9183407435746651
Tin=Cold AND Tout=Normal AND Hin=Dry AND L=Low AND Wind=Medium AND N=Low AND E=Low AND W=3,Poor,0.3760491235476814,1,1295,0.9969862336702833
Tin=Cold AND Tout=Normal AND Hin=Dry AND L=Normal AND Solar=Normal AND N=Low AND E=Normal AND W=3,Poor,0.3501116152988714,1,263,0.843060055463994
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND CO2=Normal AND N=Normal AND E=Normal AND W=3,Poor,0.4546007576302645,1,74,0.4047649413536814
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND N=Low AND E=Low AND W=3,Poor,0.4994269637045992,1,945,0.7629626040040256
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Low AND N=Normal AND E=Normal AND W=3,Poor,0.5257761217899215,1,318,0.5370743705492752
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND W=3,Acceptable,0.5480086674398579,1,203,0.6012767110496797
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND E=Normal AND W=1,Poor,0.425586276885281,1,243,0.8564595148435853
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND N=Low AND W=1,Poor,0.3473659671844797,1,1440,0.7833063216923284
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Wind=High AND E=Normal AND W=1,Poor,0.4020504329107422,1,308,0.8553121884120757
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND L=Normal AND Wind=Low AND N=Low AND W=3,Acceptable,0.4391779850845796,1,826,0.7950660135192649
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=High AND CO2=Normal AND N=Normal AND W=3,Acceptable,0.3558858998514824,1,534,0.5503429083961429
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND W=3,Poor,0.3773946360153254,1,222,0.7562067450188648
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=Low AND Wind=Medium AND E=Normal AND W=2,Poor,0.3364929902089473,1,1693,0.9999999999975553
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Solar=Normal AND Wind=Low AND N=Low AND W=0,Poor,0.3614717269898669,1,307,0.7860692516883455
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Poor,0.3529811925712891,1,436,0.5661039493234825
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Wet AND Solar=Low AND CO2=Normal AND N=Low AND W=1,Poor,0.3445279717945996,1,382,0.9137057867243091
Tin=Cold AND Tout=Normal AND Hin=Normal AND Hout=Wet AND Solar=Normal AND CO2=Normal AND N=Low AND W=3,Poor,0.3861426797501993,1,332,0.45600441596151114
Tin=Cold AND Tout=Normal AND Hin=Normal AND L=High AND Solar=Low AND N=Low AND E=Normal AND W=2,Poor,0.5145978513487178,1,1317,0.9999999999982487
Tin=Cold AND Tout=Normal AND Hin=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=1,Poor,0.3385472899829632,1,736,0.8561968086717926
Tin=Cold AND Tout=Normal AND Hin=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND N=High AND W=0,Poor,0.3989659411812423,1,1181,0.4327734090490512
Tin=Cold AND Tout=Normal AND Hin=Normal AND Solar=Low AND CO2=High AND Wind=High AND N=Low AND W=1,Poor,0.3913341439890599,1,1219,0.9999999999980361
Tin=Cold AND Tout=Normal AND Hin=Normal AND Solar=Normal AND CO2=Low AND Wind=Low AND N=Normal AND W=3,Poor,0.3674510773478893,1,990,0.43306192059116805
Tin=Cold AND Tout=Normal AND Hin=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=3,Acceptable,0.3366891191327501,1,295,0.6114712906588432
Tin=Cold AND Tout=Normal AND Hin=Wet AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=1,Poor,0.3668424444186509,1,265,0.8052388304158327
Tin=Cold AND Tout=Normal AND Hin=Wet AND Hout=Normal AND L=Normal AND CO2=High AND Wind=Medium AND W=1,Poor,0.3773946360153254,1,221,0.99991282308467
Tin=Cold AND Tout=Normal AND Hin=Wet AND Hout=Wet AND Solar=Low AND CO2=Normal AND Wind=High AND W=2,Poor,0.3573498236157388,1,1730,0.9999999999985074
Tin=Cold AND Tout=Normal AND Hin=Wet AND Hout=Wet AND Solar=Low AND Wind=Medium AND E=Normal AND W=2,Poor,0.3526685589298159,1,411,0.9999999999978076
Tin=Cold AND Tout=Normal AND Hin=Wet AND Hout=Wet AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3939720234359189,1,1429,0.8954965480649738
Tin=Cold AND Tout=Normal AND Hin=Wet AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Low AND W=3,Poor,0.3725675569000884,1,1242,0.9983333731990371
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND W=3,Poor,0.4227221916334387,1,513,0.6305055313764549
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=1,Poor,0.3441384694402771,1,1192,0.8470742932392908
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND N=Low AND W=0,Acceptable,0.3647205136662925,1,368,0.9431057886389574
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND N=Low AND W=3,Poor,0.4287446958491009,1,196,0.6773784895256018
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Low AND Wind=Medium AND W=0,Poor,0.3773946360153258,1,264,0.5498742231662996
Tin=Cold AND Tout=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=High AND W=3,Poor,0.5512251989853849,1,956,0.8023925216384514
Tin=Cold AND Tout=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Normal AND W=0,Poor,0.3897883209680686,1,180,0.7984214423962259
Tin=Cold AND Tout=Normal AND Hout=Wet AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3442219303727093,1,1232,0.8643709060725614
Tin=Cold AND Tout=Normal AND Hout=Wet AND L=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=0,Poor,0.4731800766283526,1,116,0.7981144131218197
Tin=Cold AND Tout=Normal AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND E=Normal AND W=1,Poor,0.4280570249361347,1,1545,0.8181876582813938
Tin=Cold AND Tout=Normal AND Hout=Wet AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND W=1,Poor,0.4068680892565163,1,1421,0.8700284860868819
Tin=Cold AND Tout=Normal AND Hout=Wet AND Solar=Low AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.3434333997028867,1,1069,0.8710240801757151
Tin=Cold AND Tout=Normal AND Hout=Wet AND Solar=Normal AND Wind=Low AND N=Low AND E=Low AND W=3,Acceptable,0.4786668166657922,1,313,0.9580600518038076
Tin=Cold AND Tout=Normal AND L=Low AND Solar=High AND CO2=Low AND Wind=Medium AND N=Low AND W=3,Acceptable,0.453727622846224,1,1559,0.9999999999957183
Tin=Cold AND Tout=Normal AND L=Normal AND CO2=High AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Poor,0.3815167031304585,1,1557,0.8979935008518882
